'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb7-1',3203,5408,'maker-Fvb7-1-snap-gene-0.41',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,724
3,'Fvb7-1',14500,15842,'snap_masked-Fvb7-1-processed-gene-0.16',0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,399,0,1041
4,'Fvb7-1',33558,33986,'augustus_masked-Fvb7-1-processed-gene-0.10',0,0,0.386,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0.386,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,248,141,0,429
5,'Fvb7-1',34331,34615,'snap_masked-Fvb7-1-processed-gene-0.17',0.386,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386,0,0.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,278,0,285
6,'Fvb7-1',37297,40085,'maker-Fvb7-1-augustus-gene-0.34',0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,355,0,1790
7,'Fvb7-1',48883,49717,'maker-Fvb7-1-snap-gene-0.37',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,612
8,'Fvb7-1',52637,55621,'maker-Fvb7-1-augustus-gene-0.35',0,0,0,1.0,0.047571189279731994,0.812,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.047571189279731994,0.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,1327
9,'Fvb7-1',62346,63171,'maker-Fvb7-1-augustus-gene-0.36',0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,None,0,675
10,'Fvb7-1',68378,75109,'maker-Fvb7-1-augustus-gene-0.31',0,0,0,0,0.0020796197266785502,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020796197266785502,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,2440
11,'Fvb7-1',75981,78290,'maker-Fvb7-1-augustus-gene-0.32',0,0,0,0.63,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,344,0,698
12,'Fvb7-1',88195,88521,'augustus_masked-Fvb7-1-processed-gene-0.7',0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,148,0,327
13,'Fvb7-1',104047,105931,'maker-Fvb7-1-augustus-gene-1.32',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1375
