'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb6-1',4709,13636,'augustus_masked-Fvb6-1-processed-gene-0.3',0,0,0,0,0.225918458781362,0,0,0.026881720430107527,0.438,0,0.0132168458781362,0,0,0,0,0,0,0,0,0.2528001792114695,0.438,0,0,0,0,0,0,0,0.0132168458781362,0,0,0,0,0,0,0,None,0,10,2394
3,'Fvb6-1',8446,8679,'snap_masked-Fvb6-1-processed-gene-0.13',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,234
4,'Fvb6-1',14123,30007,'augustus_masked-Fvb6-1-processed-gene-0.4',0,0.003714195782184451,0,0,0.11369216241737488,0,0.466,0.11287378029587661,0,0,0,0,0,0,0,0,0,0,0.466,0.1834435001573812,0,0,0,0,0,0.04312244255587032,0,0,0,0,0,0.003714195782184451,0,0,0,0,266,None,19,8242
5,'Fvb6-1',32650,33685,'augustus_masked-Fvb6-1-processed-gene-0.0',0,0,0,0,0.11969111969111969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11969111969111969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,1,876
6,'Fvb6-1',38589,39722,'augustus_masked-Fvb6-1-processed-gene-0.5',0,0,0.044,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,477,0,1134
7,'Fvb6-1',41379,42182,'augustus_masked-Fvb6-1-processed-gene-0.6',0.40800000000000003,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40800000000000003,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,118,None,0,804
8,'Fvb6-1',47145,47441,'snap_masked-Fvb6-1-processed-gene-0.16',0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,None,0,297
9,'Fvb6-1',48102,49102,'maker-Fvb6-1-augustus-gene-0.37',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,546
10,'Fvb6-1',50703,54793,'maker-Fvb6-1-snap-gene-0.52',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2187
11,'Fvb6-1',55191,66927,'maker-Fvb6-1-augustus-gene-0.40',0,0,0,0,0,0,0,0.032631848002044814,0,0,0,0,0,0,0,0,0,0,0,0.032631848002044814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,1,6106
12,'Fvb6-1',69356,71245,'snap_masked-Fvb6-1-processed-gene-0.17',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,777
