'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb1-1',5556,7978,'maker-Fvb1-1-augustus-gene-0.13',0,0,0,0.354,0,0,0,0,0,0,0,0,0,0,0,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,None,0,930
3,'Fvb1-1',8487,8797,'maker-Fvb1-1-snap-gene-0.18',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,210
4,'Fvb1-1',9361,9658,'snap_masked-Fvb1-1-processed-gene-0.6',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,285
5,'Fvb1-1',11127,11411,'augustus_masked-Fvb1-1-processed-gene-0.4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,285
6,'Fvb1-1',84598,86703,'maker-Fvb1-1-snap-gene-0.16',0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,6,0,1531
7,'Fvb1-1',314397,317655,'maker-Fvb1-1-augustus-gene-3.19',0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,433,0,1123
8,'Fvb1-1',315831,317608,'maker-Fvb1-1-snap-gene-3.20',0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,480,0,886
9,'Fvb1-1',319026,320584,'augustus_masked-Fvb1-1-processed-gene-3.0',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1374
10,'Fvb1-1',356220,357714,'maker-Fvb1-1-augustus-gene-3.17',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,697
11,'Fvb1-1',363853,364215,'maker-Fvb1-1-snap-gene-3.24',0,0,0.742,0.686,0,0,0,0,0,0,0,0,0,0,0,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,128,0,279
