'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb5-1',7424,10535,'maker-Fvb5-1-augustus-gene-0.32',0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,None,0,1361
3,'Fvb5-1',12589,14053,'augustus_masked-Fvb5-1-processed-gene-0.5',0.368,0.11262798634812286,0,0,0.1296928327645051,0,0,0.12491467576791809,0,0,0,0,0,0,0,0,0.1296928327645051,0,0.368,0.23754266211604097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,None,3,867
4,'Fvb5-1',14565,21989,'snap_masked-Fvb5-1-processed-gene-0.18',0,0,0,0,0.38478114478114483,0,0,0,0,0,0,0,0,0,0,0,0.1573063973063973,0,0,0.22747474747474747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,7,3523
5,'Fvb5-1',22099,26553,'maker-Fvb5-1-augustus-gene-0.36',0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,319,0,2706
6,'Fvb5-1',28951,33192,'maker-Fvb5-1-augustus-gene-0.37',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2324
7,'Fvb5-1',34712,45515,'maker-Fvb5-1-augustus-gene-0.38',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,4186
8,'Fvb5-1',55967,57485,'maker-Fvb5-1-snap-gene-0.54',0,0,0,0,0.07636603028308098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07636603028308098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,1,909
9,'Fvb5-1',57870,65314,'maker-Fvb5-1-augustus-gene-0.40',0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,321,0,3526
10,'Fvb5-1',57980,59311,'augustus_masked-Fvb5-1-processed-gene-0.2',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1332
11,'Fvb5-1',72896,77733,'maker-Fvb5-1-augustus-gene-0.34',0,0.08536585365853659,0,0.918,0.020256304257957835,0,0,0,0,0,0,0,0,0,0,0.918,0.020256304257957835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08536585365853659,0,0,0,0,40,None,3,2426
12,'Fvb5-1',76188,80072,'maker-Fvb5-1-augustus-gene-0.41',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2653
13,'Fvb5-1',80200,83856,'maker-Fvb5-1-augustus-gene-0.42',0,0,0.632,0,0,0,0,0.022149302707136997,0.034,0,0,0,0,0,0,0,0,0,0,0.022149302707136997,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,183,0,1766
14,'Fvb5-1',84626,87510,'augustus_masked-Fvb5-1-processed-gene-0.14',0.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,None,0,1359
15,'Fvb5-1',88355,91794,'maker-Fvb5-1-augustus-gene-1.28',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2469
16,'Fvb5-1',96382,101461,'maker-Fvb5-1-augustus-gene-1.29',0,0,0,0,0,0,0.616,0,0,0,0,0.23,0,0,0,0,0,0,0.616,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,181,234,0,1339
17,'Fvb5-1',104101,104964,'augustus_masked-Fvb5-1-processed-gene-1.5',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,864
18,'Fvb5-1',111642,115132,'augustus_masked-Fvb5-1-processed-gene-1.2',0,0,0,0,0,0,0.308,0.16442280148954455,0,0,0,0,0,0,0,0,0,0,0.308,0.16442280148954455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,None,1,1259
19,'Fvb5-1',128233,136785,'maker-Fvb5-1-augustus-gene-1.30',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,3250
20,'Fvb5-1',138025,142659,'maker-Fvb5-1-augustus-gene-1.31',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2294
21,'Fvb5-1',163726,164495,'snap_masked-Fvb5-1-processed-gene-1.18',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,603
22,'Fvb5-1',168387,170356,'augustus_masked-Fvb5-1-processed-gene-1.4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,747
23,'Fvb5-1',180776,181305,'maker-Fvb5-1-snap-gene-2.41',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,513
