'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb4-1',40666,47108,'maker-Fvb4-1-snap-gene-0.28',0,0,0,0.132,0.6188111128356355,1.876,0,0,0,0,0,0,0,0,0,0,0.3108800248331522,0,0,0.07667235759739252,0.876,0,0,0,0.132,0.2312587304050908,1.0,0,0,0,0,0,0,0,0,0,0,61,18,684
3,'Fvb4-1',47167,47415,'augustus_masked-Fvb4-1-processed-gene-0.3',0,0,0,0,0.9839357429718876,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9839357429718876,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,249
4,'Fvb4-1',49246,51486,'augustus_masked-Fvb4-1-processed-gene-0.4',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2241
5,'Fvb4-1',52390,56239,'maker-Fvb4-1-augustus-gene-0.26',0,0,0,0,0,0.466,0,0,0,0,0,0,0,0,0,0,0,0.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,266,0,2360
6,'Fvb4-1',72839,77916,'maker-Fvb4-1-augustus-gene-0.23',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2561
7,'Fvb4-1',76013,78931,'maker-Fvb4-1-augustus-gene-0.27',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2643
8,'Fvb4-1',78435,83211,'maker-Fvb4-1-augustus-gene-0.24',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2123
9,'Fvb4-1',83110,84873,'augustus_masked-Fvb4-1-processed-gene-0.8',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1764
10,'Fvb4-1',85479,90011,'maker-Fvb4-1-augustus-gene-1.23',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1998
11,'Fvb4-1',116162,117151,'maker-Fvb4-1-snap-gene-1.30',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,603
