'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
2,'Fvb3-1',9819,10499,'snap_masked-Fvb3-1-processed-gene-0.8',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,522
3,'Fvb3-1',12167,14730,'maker-Fvb3-1-snap-gene-0.17',0,0,0,0,0.031201248049921998,1.0,0,0,0,0,0,0,0,0,0,0,0.031201248049921998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,792
4,'Fvb3-1',20404,20728,'snap_masked-Fvb3-1-processed-gene-0.9',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,297
5,'Fvb3-1',55607,57682,'snap_masked-Fvb3-1-processed-gene-0.11',1.0,0.31454720616570325,0,0,0.6844894026974951,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6844894026974951,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1299
6,'Fvb3-1',57704,57916,'snap_masked-Fvb3-1-processed-gene-0.12',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,213
7,'Fvb3-1',82134,83369,'augustus_masked-Fvb3-1-processed-gene-0.3',0,0,0,0,0,0.52,0.586,0,0,0,0,0,0,0,0,0,0,0,0.586,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,239,0,1236
8,'Fvb3-1',86241,112911,'snap_masked-Fvb3-1-processed-gene-1.13',0,0,0,0.374,0.18432004799220125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.18432004799220125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,None,3,6934
9,'Fvb3-1',116853,119559,'maker-Fvb3-1-snap-gene-1.40',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1374
10,'Fvb3-1',119577,120269,'augustus_masked-Fvb3-1-processed-gene-1.6',0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,441,0,693
11,'Fvb3-1',120329,120616,'snap_masked-Fvb3-1-processed-gene-1.24',0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,94,0,288
12,'Fvb3-1',124314,126323,'maker-Fvb3-1-snap-gene-1.41',0,0,0,0.98,0.02935323383084577,0,0,0,0,0,0,0,0,0,0,0.828,0.02935323383084577,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,0,795
13,'Fvb3-1',126247,126624,'snap_masked-Fvb3-1-processed-gene-1.17',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,285
14,'Fvb3-1',126904,129468,'maker-Fvb3-1-snap-gene-1.42',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,576
15,'Fvb3-1',155173,160932,'augustus_masked-Fvb3-1-processed-gene-1.9',0,0.6302083333333333,0,0.994,0.19618055555555558,0,0,0,0,0,0,0,0,0,0,0,0.06631944444444444,0,0.604,0,0,0,0,0,0.39,0.12986111111111112,0,0,0,0,0,0,0,0,0,0,0,None,4,951
