g_start,g_stop,g_chromosome,t_start,t_stop,t_chromosome,t_type,t_family
976246,976491,Fvb5-1,976201,976623,Fvb5-1,LINE,None
1327473,1328799,Fvb5-1,1327438,1328837,Fvb5-1,LTR,Unknown
1490459,1491353,Fvb5-1,1490364,1491564,Fvb5-1,LINE,None
2768726,2769190,Fvb5-1,2768692,2769318,Fvb5-1,LINE,None
3564616,3565059,Fvb5-1,3564532,3565156,Fvb5-1,LINE,None
4656017,4657261,Fvb5-1,4655822,4657336,Fvb5-1,Unknown,Unknown
5623841,5624219,Fvb5-1,5623727,5625069,Fvb5-1,DNA,CMC-EnSpm
5742621,5743134,Fvb5-1,5742436,5743553,Fvb5-1,Unknown,Unknown
5743186,5743536,Fvb5-1,5742436,5743553,Fvb5-1,Unknown,Unknown
5744459,5744671,Fvb5-1,5744246,5745857,Fvb5-1,Unknown,Unknown
5763788,5764015,Fvb5-1,5763717,5764246,Fvb5-1,Unknown,Unknown
6249867,6250115,Fvb5-1,6249558,6250227,Fvb5-1,DNA,hAT
6839124,6839807,Fvb5-1,6838764,6839810,Fvb5-1,Unknown,Unknown
7122220,7122543,Fvb5-1,7121741,7122660,Fvb5-1,DNA,MULE
7134416,7134702,Fvb5-1,7134001,7134918,Fvb5-1,LINE,None
7328821,7329180,Fvb5-1,7328080,7329197,Fvb5-1,Unknown,Unknown
7362005,7362385,Fvb5-1,7361850,7362858,Fvb5-1,Unknown,Unknown
7813327,7813575,Fvb5-1,7813018,7813687,Fvb5-1,DNA,hAT
8275851,8276125,Fvb5-1,8275838,8276132,Fvb5-1,LINE,None
11281879,11282160,Fvb5-1,11281810,11282701,Fvb5-1,DNA,hAT
11855851,11856132,Fvb5-1,11855510,11856143,Fvb5-1,DNA,MULE
11923505,11923786,Fvb5-1,11923343,11923797,Fvb5-1,DNA,MULE
13416646,13416840,Fvb5-1,13416514,13417355,Fvb5-1,Unknown,Unknown
13510276,13510896,Fvb5-1,13510176,13510898,Fvb5-1,DNA,PIF-Harbinger
13743391,13743669,Fvb5-1,13742640,13743947,Fvb5-1,LTR,Unknown
13978110,13979105,Fvb5-1,13977923,13979231,Fvb5-1,Unknown,Unknown
14094915,14095584,Fvb5-1,14094862,14096159,Fvb5-1,LINE,None
14328060,14328277,Fvb5-1,14327156,14328369,Fvb5-1,DNA,MULE
14339614,14339852,Fvb5-1,14338707,14339919,Fvb5-1,DNA,MULE
14500326,14500629,Fvb5-1,14500321,14500686,Fvb5-1,LTR,Unknown
14502397,14506704,Fvb5-1,14502305,14510376,Fvb5-1,LTR,Gypsy
14521954,14522274,Fvb5-1,14521390,14522383,Fvb5-1,LINE,None
14670655,14670928,Fvb5-1,14670623,14670974,Fvb5-1,LTR,Copia
16281522,16282612,Fvb5-1,16280992,16283077,Fvb5-1,LTR,Copia
16805546,16806234,Fvb5-1,16805184,16807580,Fvb5-1,LTR,Copia
17633406,17633770,Fvb5-1,17633295,17633804,Fvb5-1,Unknown,Unknown
18353597,18353991,Fvb5-1,18353190,18354139,Fvb5-1,Unknown,Unknown
18457923,18458195,Fvb5-1,18457922,18458462,Fvb5-1,DNA,MULE
18596606,18597112,Fvb5-1,18596345,18597121,Fvb5-1,Unknown,Unknown
18714828,18716050,Fvb5-1,18714577,18716069,Fvb5-1,LINE,None
19216598,19217175,Fvb5-1,19216087,19217271,Fvb5-1,LINE,None
19889761,19890390,Fvb5-1,19889652,19890644,Fvb5-1,LINE,None
19904781,19906583,Fvb5-1,19900963,19906651,Fvb5-1,LTR,Gypsy
19920423,19920705,Fvb5-1,19920366,19920736,Fvb5-1,LTR,Unknown
20101103,20101391,Fvb5-1,20100201,20101415,Fvb5-1,DNA,MULE
20930389,20931119,Fvb5-1,20930251,20932119,Fvb5-1,LTR,Gypsy
21372845,21373441,Fvb5-1,21372707,21373706,Fvb5-1,LINE,None
22025933,22026431,Fvb5-1,22025900,22026566,Fvb5-1,Unknown,Unknown
22108222,22108483,Fvb5-1,22106861,22108947,Fvb5-1,LTR,Copia
22542263,22542571,Fvb5-1,22541537,22542633,Fvb5-1,DNA,MULE
22705214,22705402,Fvb5-1,22704986,22705473,Fvb5-1,DNA,MULE
22751021,22751852,Fvb5-1,22750928,22752345,Fvb5-1,DNA,Unknown
23032628,23032944,Fvb5-1,23032578,23033620,Fvb5-1,LINE,None
23032991,23033572,Fvb5-1,23032578,23033620,Fvb5-1,LINE,None
23136697,23136955,Fvb5-1,23136694,23137010,Fvb5-1,LTR,Copia
23235841,23236886,Fvb5-1,23235122,23236972,Fvb5-1,LTR,Unknown
25031049,25031455,Fvb5-1,25031042,25032066,Fvb5-1,Unknown,Unknown
25031516,25031909,Fvb5-1,25031042,25032066,Fvb5-1,Unknown,Unknown
25622324,25622902,Fvb5-1,25622184,25623697,Fvb5-1,LTR,Copia
25752643,25752833,Fvb5-1,25751898,25753113,Fvb5-1,LINE,None
25840228,25841577,Fvb5-1,25838270,25841859,Fvb5-1,DNA,PIF-Harbinger
25937050,25937379,Fvb5-1,25937041,25937460,Fvb5-1,LTR,Unknown
26375332,26376223,Fvb5-1,26375147,26376464,Fvb5-1,Unknown,Unknown
27328261,27328737,Fvb5-1,27328150,27329263,Fvb5-1,LINE,None
27434075,27434337,Fvb5-1,27433976,27434401,Fvb5-1,LINE,None
28010118,28010432,Fvb5-1,28009804,28010493,Fvb5-1,LINE,None
28173133,28173582,Fvb5-1,28173024,28174017,Fvb5-1,LINE,None
28667961,28668311,Fvb5-1,28667625,28668572,Fvb5-1,Unknown,Unknown
29012139,29013180,Fvb5-1,29012126,29013221,Fvb5-1,LINE,None
537994,538203,Fvb5-2,537732,538454,Fvb5-2,Unknown,Unknown
787945,788220,Fvb5-2,787940,788286,Fvb5-2,LTR,Copia
