g_start,g_stop,g_chromosome,t_start,t_stop,t_chromosome,t_type,t_family
47167,47415,Fvb4-1,46920,47959,Fvb4-1,LTR,Copia
455606,456709,Fvb4-1,455229,456826,Fvb4-1,LTR,Unknown
701512,702103,Fvb4-1,701460,702299,Fvb4-1,DNA,CMC-EnSpm
863417,863632,Fvb4-1,863237,863807,Fvb4-1,LTR,Copia
912966,913889,Fvb4-1,912866,916315,Fvb4-1,LTR,Gypsy
915467,916075,Fvb4-1,912866,916315,Fvb4-1,LTR,Gypsy
1137631,1138023,Fvb4-1,1137063,1138098,Fvb4-1,LTR,Gypsy
1493750,1494345,Fvb4-1,1493361,1494854,Fvb4-1,DNA,CMC-EnSpm
1587037,1588071,Fvb4-1,1586428,1588119,Fvb4-1,LTR,Copia
1699647,1700767,Fvb4-1,1699285,1701056,Fvb4-1,LTR,Copia
1848149,1848586,Fvb4-1,1848126,1848724,Fvb4-1,Unknown,Unknown
2296537,2297423,Fvb4-1,2295950,2297727,Fvb4-1,LTR,Copia
2297424,2297998,Fvb4-1,2297399,2298443,Fvb4-1,LTR,Unknown
2398700,2399074,Fvb4-1,2396888,2399226,Fvb4-1,LTR,Unknown
2708350,2708579,Fvb4-1,2708167,2708834,Fvb4-1,Unknown,Unknown
2787857,2788439,Fvb4-1,2787670,2790373,Fvb4-1,DNA,CMC-EnSpm
2793672,2794040,Fvb4-1,2793570,2794137,Fvb4-1,LTR,Copia
3123053,3123807,Fvb4-1,3122589,3123816,Fvb4-1,LINE,None
3294677,3295319,Fvb4-1,3294253,3295793,Fvb4-1,DNA,CMC-EnSpm
3444889,3445116,Fvb4-1,3444658,3445412,Fvb4-1,Unknown,Unknown
3723031,3723294,Fvb4-1,3719159,3723518,Fvb4-1,DNA,CMC-EnSpm
3968907,3970548,Fvb4-1,3968373,3970686,Fvb4-1,DNA,Unknown
4233180,4233629,Fvb4-1,4232804,4233673,Fvb4-1,Unknown,Unknown
4490520,4490972,Fvb4-1,4490430,4491010,Fvb4-1,LINE,None
4566902,4567171,Fvb4-1,4564660,4567459,Fvb4-1,DNA,CMC-EnSpm
4582703,4582999,Fvb4-1,4582438,4583054,Fvb4-1,LTR,Copia
5106359,5107143,Fvb4-1,5106282,5107262,Fvb4-1,Unknown,Unknown
5178747,5179511,Fvb4-1,5178129,5179573,Fvb4-1,LTR,Gypsy
5179732,5180577,Fvb4-1,5179602,5180750,Fvb4-1,LTR,Gypsy
5627857,5629374,Fvb4-1,5627693,5640967,Fvb4-1,LTR,Gypsy
5697633,5698412,Fvb4-1,5697157,5698440,Fvb4-1,LTR,Gypsy
5699074,5700545,Fvb4-1,5698909,5700707,Fvb4-1,LTR,Gypsy
5744140,5744429,Fvb4-1,5743392,5744590,Fvb4-1,DNA,CMC-EnSpm
5842833,5843989,Fvb4-1,5842757,5844334,Fvb4-1,DNA,PIF-Harbinger
6199314,6200002,Fvb4-1,6198940,6201348,Fvb4-1,LTR,Copia
6244820,6245554,Fvb4-1,6244553,6245627,Fvb4-1,LTR,Gypsy
6246652,6247236,Fvb4-1,6246113,6247567,Fvb4-1,LTR,Gypsy
6286921,6289122,Fvb4-1,6286581,6289500,Fvb4-1,LTR,Unknown
6533608,6534565,Fvb4-1,6533162,6534773,Fvb4-1,DNA,MULE
6920388,6920789,Fvb4-1,6919912,6921217,Fvb4-1,DNA,CMC-EnSpm
6923595,6924359,Fvb4-1,6923099,6925135,Fvb4-1,LTR,Copia
6924405,6924669,Fvb4-1,6923099,6925135,Fvb4-1,LTR,Copia
6924405,6924669,Fvb4-1,6924337,6925374,Fvb4-1,LTR,Unknown
6937007,6940651,Fvb4-1,6936929,6941063,Fvb4-1,DNA,CMC-EnSpm
6942005,6942885,Fvb4-1,6941691,6943178,Fvb4-1,LTR,Copia
6942923,6943167,Fvb4-1,6941691,6943178,Fvb4-1,LTR,Copia
6942923,6943167,Fvb4-1,6942855,6943581,Fvb4-1,LTR,Unknown
7077158,7077569,Fvb4-1,7076973,7077592,Fvb4-1,LINE,None
7282292,7283254,Fvb4-1,7282236,7283631,Fvb4-1,LTR,Gypsy
7671575,7672011,Fvb4-1,7671103,7672771,Fvb4-1,DNA,MULE
9081058,9081411,Fvb4-1,9080804,9083018,Fvb4-1,LTR,Gypsy
9560741,9560992,Fvb4-1,9560479,9561543,Fvb4-1,DNA,PIF-Harbinger
9697938,9699017,Fvb4-1,9697118,9699507,Fvb4-1,DNA,MULE
9774564,9774956,Fvb4-1,9774519,9775072,Fvb4-1,Unknown,Unknown
9830392,9830682,Fvb4-1,9829970,9831121,Fvb4-1,DNA,MULE
10548537,10548810,Fvb4-1,10548386,10550247,Fvb4-1,DNA,PIF-Harbinger
10548910,10549885,Fvb4-1,10548386,10550247,Fvb4-1,DNA,PIF-Harbinger
10605709,10606149,Fvb4-1,10605386,10606428,Fvb4-1,DNA,PIF-Harbinger
11308781,11309206,Fvb4-1,11308510,11309362,Fvb4-1,DNA,MULE
11571725,11572838,Fvb4-1,11571518,11573081,Fvb4-1,LTR,Copia
11727915,11728231,Fvb4-1,11727890,11728451,Fvb4-1,LTR,Copia
11731560,11731877,Fvb4-1,11731275,11732466,Fvb4-1,DNA,CMC-EnSpm
12198908,12199127,Fvb4-1,12198476,12200594,Fvb4-1,LTR,Copia
12811804,12812112,Fvb4-1,12811745,12812113,Fvb4-1,LTR,Copia
12817110,12817418,Fvb4-1,12817104,12817666,Fvb4-1,LTR,Copia
13031343,13034034,Fvb4-1,13030242,13034130,Fvb4-1,LTR,Gypsy
13061797,13062046,Fvb4-1,13061728,13064483,Fvb4-1,DNA,CMC-EnSpm
13915237,13916275,Fvb4-1,13913270,13916628,Fvb4-1,DNA,PIF-Harbinger
15023001,15023639,Fvb4-1,15022640,15024032,Fvb4-1,LTR,Unknown
15796332,15797081,Fvb4-1,15794567,15797388,Fvb4-1,DNA,CMC-EnSpm
15875588,15876383,Fvb4-1,15875511,15876387,Fvb4-1,LINE,None
16362651,16363069,Fvb4-1,16362349,16363194,Fvb4-1,Unknown,Unknown
16428250,16428639,Fvb4-1,16427926,16428757,Fvb4-1,LINE,None
16759106,16759516,Fvb4-1,16758978,16759692,Fvb4-1,Unknown,Unknown
19226796,19227884,Fvb4-1,19226326,19229974,Fvb4-1,DNA,PIF-Harbinger
987954,988792,Fvb4-2,987908,988901,Fvb4-2,LINE,None
2341330,2343397,Fvb4-2,2341305,2343604,Fvb4-2,LINE,None
2343916,2346525,Fvb4-2,2343642,2350369,Fvb4-2,LINE,None
2551029,2551289,Fvb4-2,2550846,2551300,Fvb4-2,Unknown,Unknown
2947071,2947355,Fvb4-2,2946842,2947543,Fvb4-2,DNA,MULE
2994673,2994882,Fvb4-2,2994650,2995205,Fvb4-2,Unknown,Unknown
3290204,3290404,Fvb4-2,3290177,3291180,Fvb4-2,Unknown,Unknown
3290445,3290645,Fvb4-2,3290177,3291180,Fvb4-2,Unknown,Unknown
3886165,3886485,Fvb4-2,3886065,3886872,Fvb4-2,Unknown,Unknown
3947993,3948274,Fvb4-2,3947707,3948727,Fvb4-2,LTR,Unknown
6058788,6059464,Fvb4-2,6058412,6059698,Fvb4-2,DNA,PIF-Harbinger
6126933,6127404,Fvb4-2,6126388,6127868,Fvb4-2,DNA,CMC-EnSpm
6261108,6261473,Fvb4-2,6260234,6261642,Fvb4-2,LTR,Copia
6695790,6696014,Fvb4-2,6695477,6696382,Fvb4-2,DNA,MULE
6767767,6769584,Fvb4-2,6767699,6773688,Fvb4-2,DNA,MULE
6772527,6773429,Fvb4-2,6767699,6773688,Fvb4-2,DNA,MULE
6929223,6929813,Fvb4-2,6928973,6929816,Fvb4-2,Unknown,Unknown
7242710,7243581,Fvb4-2,7242252,7244272,Fvb4-2,Unknown,Unknown
8244557,8244748,Fvb4-2,8243822,8244766,Fvb4-2,LTR,Unknown
8274860,8275546,Fvb4-2,8274589,8275681,Fvb4-2,LINE,None
8361937,8362978,Fvb4-2,8361631,8363387,Fvb4-2,DNA,PIF-Harbinger
8363713,8363925,Fvb4-2,8363387,8364418,Fvb4-2,DNA,PIF-Harbinger
9101951,9102229,Fvb4-2,9101903,9102460,Fvb4-2,LTR,Gypsy
9379692,9379877,Fvb4-2,9379677,9380145,Fvb4-2,LTR,Copia
9956122,9956466,Fvb4-2,9956092,9957465,Fvb4-2,LTR,Copia
9991337,9991645,Fvb4-2,9991336,9991656,Fvb4-2,LTR,Copia
10550874,10551254,Fvb4-2,10550603,10551534,Fvb4-2,LINE,None
11087731,11089512,Fvb4-2,11084648,11089889,Fvb4-2,LTR,Unknown
11239055,11239349,Fvb4-2,11238904,11239462,Fvb4-2,DNA,Unknown
11270915,11271524,Fvb4-2,11270804,11271604,Fvb4-2,DNA,CMC-EnSpm
11805939,11808364,Fvb4-2,11805665,11808710,Fvb4-2,LTR,Gypsy
12130427,12130674,Fvb4-2,12130330,12130805,Fvb4-2,DNA,hAT
12172818,12173054,Fvb4-2,12172745,12173375,Fvb4-2,LINE,None
12249653,12249877,Fvb4-2,12248985,12249937,Fvb4-2,DNA,PIF-Harbinger
12409082,12411710,Fvb4-2,12408985,12412811,Fvb4-2,LTR,Gypsy
12517788,12518060,Fvb4-2,12517329,12518414,Fvb4-2,LTR,Copia
12517795,12518127,Fvb4-2,12517329,12518414,Fvb4-2,LTR,Copia
12772115,12772922,Fvb4-2,12772097,12772986,Fvb4-2,LTR,Gypsy
12826809,12827666,Fvb4-2,12826740,12828140,Fvb4-2,LTR,Gypsy
12833371,12834237,Fvb4-2,12831834,12834331,Fvb4-2,LTR,Gypsy
13640061,13641099,Fvb4-2,13639708,13643095,Fvb4-2,DNA,PIF-Harbinger
13680905,13681180,Fvb4-2,13680208,13681376,Fvb4-2,DNA,CMC-EnSpm
15488442,15489920,Fvb4-2,15487593,15489991,Fvb4-2,DNA,PIF-Harbinger
15574881,15575400,Fvb4-2,15574647,15575520,Fvb4-2,DNA,hAT
15782467,15782841,Fvb4-2,15782445,15783082,Fvb4-2,DNA,PIF-Harbinger
