g_start,g_stop,g_chromosome,t_start,t_stop,t_chromosome,t_type,t_family
14500,15842,Fvb7-1,14410,16037,Fvb7-1,LINE,None
379107,379705,Fvb7-1,379104,380037,Fvb7-1,Unknown,Unknown
465173,465848,Fvb7-1,464914,466626,Fvb7-1,LINE,None
466196,466514,Fvb7-1,464914,466626,Fvb7-1,LINE,None
484736,484978,Fvb7-1,484243,487591,Fvb7-1,DNA,PIF-Harbinger
486249,487273,Fvb7-1,484243,487591,Fvb7-1,DNA,PIF-Harbinger
1456225,1458344,Fvb7-1,1456119,1458395,Fvb7-1,DNA,CMC-EnSpm
1823633,1823947,Fvb7-1,1823268,1824544,Fvb7-1,Unknown,Unknown
1907491,1907727,Fvb7-1,1907316,1908384,Fvb7-1,DNA,PIF-Harbinger
1907740,1908318,Fvb7-1,1907316,1908384,Fvb7-1,DNA,PIF-Harbinger
2035321,2035631,Fvb7-1,2034495,2036006,Fvb7-1,DNA,Unknown
2286966,2289050,Fvb7-1,2286867,2289204,Fvb7-1,LTR,Unknown
2638567,2638777,Fvb7-1,2638510,2638947,Fvb7-1,LINE,None
2657471,2657681,Fvb7-1,2657301,2657738,Fvb7-1,LINE,None
2790577,2791063,Fvb7-1,2790507,2791189,Fvb7-1,Unknown,Unknown
3412431,3414515,Fvb7-1,3412332,3414681,Fvb7-1,LTR,Unknown
4318012,4318974,Fvb7-1,4317943,4319120,Fvb7-1,LTR,Gypsy
4327340,4327597,Fvb7-1,4325186,4327691,Fvb7-1,LTR,Gypsy
4547735,4548503,Fvb7-1,4547647,4549239,Fvb7-1,DNA,PIF-Harbinger
4548630,4549039,Fvb7-1,4547647,4549239,Fvb7-1,DNA,PIF-Harbinger
4660712,4661480,Fvb7-1,4660624,4661722,Fvb7-1,DNA,PIF-Harbinger
4686053,4686821,Fvb7-1,4685811,4686909,Fvb7-1,DNA,PIF-Harbinger
4857047,4857320,Fvb7-1,4856977,4857474,Fvb7-1,LTR,Gypsy
4873008,4873882,Fvb7-1,4872531,4874464,Fvb7-1,LTR,Gypsy
5099522,5101984,Fvb7-1,5099427,5107284,Fvb7-1,LTR,Gypsy
5394924,5395130,Fvb7-1,5394647,5395353,Fvb7-1,Unknown,Unknown
5808559,5808883,Fvb7-1,5808526,5808918,Fvb7-1,LTR,Copia
6023997,6024304,Fvb7-1,6023535,6024426,Fvb7-1,DNA,hAT
6602248,6602675,Fvb7-1,6601851,6602879,Fvb7-1,LTR,Gypsy
7052507,7053198,Fvb7-1,7052461,7053296,Fvb7-1,DNA,Unknown
7061707,7062896,Fvb7-1,7060763,7063134,Fvb7-1,LTR,Copia
7209611,7210507,Fvb7-1,7209571,7210674,Fvb7-1,LINE,None
8012273,8013005,Fvb7-1,8012030,8013426,Fvb7-1,Unknown,Unknown
8185744,8186254,Fvb7-1,8184073,8186393,Fvb7-1,LTR,Unknown
8186967,8187223,Fvb7-1,8186882,8187725,Fvb7-1,LTR,Gypsy
8852245,8853398,Fvb7-1,8852159,8853719,Fvb7-1,Unknown,Unknown
9082468,9083218,Fvb7-1,9082462,9083252,Fvb7-1,LTR,Copia
9191031,9191318,Fvb7-1,9190789,9191320,Fvb7-1,DNA,PIF-Harbinger
9191590,9192592,Fvb7-1,9191342,9193250,Fvb7-1,DNA,PIF-Harbinger
9367972,9369197,Fvb7-1,9367206,9369395,Fvb7-1,DNA,CMC-EnSpm
10138037,10138600,Fvb7-1,10137813,10138763,Fvb7-1,LINE,None
10326970,10327801,Fvb7-1,10324035,10327977,Fvb7-1,LTR,Gypsy
10557326,10558749,Fvb7-1,10557278,10559042,Fvb7-1,LTR,Copia
10761812,10762053,Fvb7-1,10761678,10762598,Fvb7-1,LINE,None
11788254,11788514,Fvb7-1,11788230,11789166,Fvb7-1,LTR,Copia
11820221,11821338,Fvb7-1,11820025,11821387,Fvb7-1,Unknown,Unknown
11989349,11990509,Fvb7-1,11989254,11991328,Fvb7-1,Unknown,Unknown
11992783,11996632,Fvb7-1,11992713,11996649,Fvb7-1,Unknown,Unknown
12351628,12351834,Fvb7-1,12351383,12352762,Fvb7-1,Unknown,Unknown
12351859,12352368,Fvb7-1,12351383,12352762,Fvb7-1,Unknown,Unknown
12352390,12352569,Fvb7-1,12351383,12352762,Fvb7-1,Unknown,Unknown
12439539,12441574,Fvb7-1,12439089,12442246,Fvb7-1,DNA,CMC-EnSpm
12727617,12727931,Fvb7-1,12727018,12728182,Fvb7-1,Unknown,Unknown
13070739,13071281,Fvb7-1,13070506,13071377,Fvb7-1,LTR,Gypsy
13073102,13073781,Fvb7-1,13073045,13073795,Fvb7-1,LTR,Gypsy
13274258,13275429,Fvb7-1,13274172,13275750,Fvb7-1,Unknown,Unknown
13372050,13372752,Fvb7-1,13370708,13373114,Fvb7-1,LTR,Copia
13690693,13691675,Fvb7-1,13689839,13691719,Fvb7-1,DNA,PIF-Harbinger
14185770,14186231,Fvb7-1,14185639,14186710,Fvb7-1,DNA,PIF-Harbinger
14186244,14186510,Fvb7-1,14185639,14186710,Fvb7-1,DNA,PIF-Harbinger
14404171,14405610,Fvb7-1,14401880,14405787,Fvb7-1,LTR,Gypsy
14900397,14901062,Fvb7-1,14899937,14907793,Fvb7-1,LTR,Gypsy
14911197,14911874,Fvb7-1,14908103,14912052,Fvb7-1,LTR,Gypsy
15042835,15043113,Fvb7-1,15041963,15043234,Fvb7-1,DNA,MULE
15094686,15096448,Fvb7-1,15094308,15097205,Fvb7-1,LTR,Unknown
15178262,15179211,Fvb7-1,15177898,15179711,Fvb7-1,LTR,Copia
15179293,15179554,Fvb7-1,15177898,15179711,Fvb7-1,LTR,Copia
15421471,15421934,Fvb7-1,15421285,15422116,Fvb7-1,LINE,None
16027549,16027854,Fvb7-1,16027227,16034704,Fvb7-1,LTR,Gypsy
16435904,16437021,Fvb7-1,16435708,16437070,Fvb7-1,Unknown,Unknown
16627763,16628923,Fvb7-1,16627668,16630113,Fvb7-1,Unknown,Unknown
16951503,16951830,Fvb7-1,16951366,16952251,Fvb7-1,Unknown,Unknown
17434915,17435810,Fvb7-1,17434749,17435850,Fvb7-1,LINE,None
17963271,17965353,Fvb7-1,17962877,17966126,Fvb7-1,LTR,Unknown
18074794,18075408,Fvb7-1,18074076,18075603,Fvb7-1,DNA,PIF-Harbinger
18532295,18532531,Fvb7-1,18531626,18532579,Fvb7-1,DNA,PIF-Harbinger
18624500,18625749,Fvb7-1,18621294,18626167,Fvb7-1,DNA,Unknown
18892898,18893936,Fvb7-1,18891997,18894289,Fvb7-1,DNA,PIF-Harbinger
19102747,19103062,Fvb7-1,19101980,19103119,Fvb7-1,LTR,Copia
19949465,19950377,Fvb7-1,19949429,19950449,Fvb7-1,LINE,None
20739785,20742413,Fvb7-1,20738210,20742420,Fvb7-1,LINE,None
20928913,20929191,Fvb7-1,20928581,20929211,Fvb7-1,DNA,hAT
21130830,21131279,Fvb7-1,21130702,21131587,Fvb7-1,LINE,None
21655563,21656201,Fvb7-1,21655369,21656544,Fvb7-1,Unknown,Unknown
22641454,22641976,Fvb7-1,22640971,22643495,Fvb7-1,DNA,PIF-Harbinger
22888115,22888393,Fvb7-1,22888078,22888704,Fvb7-1,LTR,Gypsy
23231359,23231601,Fvb7-1,23231025,23231908,Fvb7-1,LINE,None
23886729,23887367,Fvb7-1,23886535,23887710,Fvb7-1,Unknown,Unknown
