g_start,g_stop,g_chromosome,t_start,t_stop,t_chromosome,t_type,t_family
694366,698139,Fvb2-1,694240,698143,Fvb2-1,LTR,Gypsy
1066995,1067278,Fvb2-1,1066741,1068779,Fvb2-1,DNA,CMC-EnSpm
1067432,1068285,Fvb2-1,1066741,1068779,Fvb2-1,DNA,CMC-EnSpm
1304764,1306197,Fvb2-1,1303940,1306383,Fvb2-1,Unknown,Unknown
1649358,1650226,Fvb2-1,1648975,1650257,Fvb2-1,LTR,Gypsy
2041330,2041807,Fvb2-1,2041094,2042314,Fvb2-1,DNA,PIF-Harbinger
2315717,2316215,Fvb2-1,2315660,2316488,Fvb2-1,LTR,Unknown
2377419,2377646,Fvb2-1,2375233,2377740,Fvb2-1,LTR,Gypsy
2775254,2776056,Fvb2-1,2774759,2776304,Fvb2-1,LTR,Gypsy
2880683,2881541,Fvb2-1,2880137,2881800,Fvb2-1,Unknown,Unknown
2915829,2916314,Fvb2-1,2915505,2916675,Fvb2-1,Unknown,Unknown
2945557,2946366,Fvb2-1,2945494,2947041,Fvb2-1,LTR,Copia
2975598,2976026,Fvb2-1,2975121,2976280,Fvb2-1,Unknown,Unknown
3147785,3151435,Fvb2-1,3146172,3151829,Fvb2-1,DNA,Unknown
3306631,3307486,Fvb2-1,3306230,3307768,Fvb2-1,LINE,None
4404331,4404551,Fvb2-1,4403934,4406347,Fvb2-1,DNA,hAT
5462486,5462737,Fvb2-1,5461963,5462775,Fvb2-1,DNA,MULE
5503298,5503598,Fvb2-1,5503287,5504244,Fvb2-1,DNA,PIF-Harbinger
6126633,6127057,Fvb2-1,6126612,6127071,Fvb2-1,LINE,None
6993463,6993857,Fvb2-1,6993275,6994008,Fvb2-1,LTR,Unknown
7321792,7322192,Fvb2-1,7321726,7322291,Fvb2-1,DNA,PIF-Harbinger
7612577,7613519,Fvb2-1,7612394,7613735,Fvb2-1,Unknown,Unknown
7734452,7734634,Fvb2-1,7734423,7735283,Fvb2-1,LINE,None
7739874,7740443,Fvb2-1,7739654,7740453,Fvb2-1,LINE,None
7866743,7867120,Fvb2-1,7866514,7867395,Fvb2-1,DNA,hAT
7970290,7970517,Fvb2-1,7970069,7971179,Fvb2-1,DNA,MULE
7994108,7996469,Fvb2-1,7993891,7996809,Fvb2-1,LTR,Unknown
8065923,8066333,Fvb2-1,8065735,8066588,Fvb2-1,Unknown,Unknown
8125622,8126260,Fvb2-1,8125260,8126643,Fvb2-1,LTR,Unknown
8179423,8180196,Fvb2-1,8178984,8180386,Fvb2-1,Unknown,Unknown
8228190,8229358,Fvb2-1,8227834,8230291,Fvb2-1,LTR,Copia
8351205,8351812,Fvb2-1,8351176,8351893,Fvb2-1,LINE,None
8366477,8367079,Fvb2-1,8366028,8367128,Fvb2-1,LINE,None
8531235,8531932,Fvb2-1,8530975,8533125,Fvb2-1,DNA,CMC-EnSpm
8637873,8638777,Fvb2-1,8637453,8638868,Fvb2-1,DNA,Unknown
8798441,8798740,Fvb2-1,8798258,8799950,Fvb2-1,LTR,Copia
8798759,8799463,Fvb2-1,8798258,8799950,Fvb2-1,LTR,Copia
8975295,8976128,Fvb2-1,8975066,8976195,Fvb2-1,LTR,Gypsy
8977230,8977704,Fvb2-1,8976541,8978201,Fvb2-1,LTR,Gypsy
9071032,9071859,Fvb2-1,9070992,9072650,Fvb2-1,LTR,Copia
9380092,9381580,Fvb2-1,9380002,9381589,Fvb2-1,LINE,None
10015800,10016009,Fvb2-1,10015620,10016142,Fvb2-1,LTR,Copia
10513990,10514964,Fvb2-1,10513868,10515671,Fvb2-1,LTR,Gypsy
10522811,10526744,Fvb2-1,10522754,10526872,Fvb2-1,LTR,Gypsy
10687441,10687713,Fvb2-1,10687437,10687791,Fvb2-1,DNA,MULE
10733562,10733747,Fvb2-1,10732379,10733902,Fvb2-1,LTR,Copia
11404656,11404898,Fvb2-1,11404603,11405772,Fvb2-1,DNA,MULE
11436120,11437434,Fvb2-1,11435775,11437632,Fvb2-1,DNA,PIF-Harbinger
11475245,11475487,Fvb2-1,11475135,11475801,Fvb2-1,LTR,Gypsy
12546256,12546691,Fvb2-1,12545574,12546866,Fvb2-1,LINE,None
13421711,13422227,Fvb2-1,13421294,13422394,Fvb2-1,LINE,None
14194637,14194915,Fvb2-1,14194128,14194942,Fvb2-1,LTR,Unknown
14364294,14367554,Fvb2-1,14364194,14368097,Fvb2-1,LTR,Gypsy
14374175,14376245,Fvb2-1,14368477,14376342,Fvb2-1,LTR,Gypsy
